document_id,source_url,dataset_name,version,license,license_url,attribution,real_or_synthetic,document_type,download_status
real-voxel51-01,https://huggingface.co/datasets/Voxel51/high-quality-invoice-images-for-ocr/resolve/d21f03cfeea2b330e15a229883c66d7ebece8e69/data/batch1-0001.jpg,Voxel51/high-quality-invoice-images-for-ocr,d21f03cfeea2b330e15a229883c66d7ebece8e69,ODbL-1.0 (database) + DbCL-1.0 (contents/images),https://opendatacommons.org/licenses/dbcl/1-0/,Osama Hosam Abdellatif (original Kaggle dataset); Harpreet Sahota / Voxel51 (FiftyOne port),real-public,"synthetic-generated invoice image, English, USD",already-present
real-voxel51-02,https://huggingface.co/datasets/Voxel51/high-quality-invoice-images-for-ocr/resolve/d21f03cfeea2b330e15a229883c66d7ebece8e69/data/batch1-0109.jpg,Voxel51/high-quality-invoice-images-for-ocr,d21f03cfeea2b330e15a229883c66d7ebece8e69,ODbL-1.0 (database) + DbCL-1.0 (contents/images),https://opendatacommons.org/licenses/dbcl/1-0/,Osama Hosam Abdellatif (original Kaggle dataset); Harpreet Sahota / Voxel51 (FiftyOne port),real-public,"synthetic-generated invoice image, English, USD",already-present
real-voxel51-03,https://huggingface.co/datasets/Voxel51/high-quality-invoice-images-for-ocr/resolve/d21f03cfeea2b330e15a229883c66d7ebece8e69/data/batch1-0218.jpg,Voxel51/high-quality-invoice-images-for-ocr,d21f03cfeea2b330e15a229883c66d7ebece8e69,ODbL-1.0 (database) + DbCL-1.0 (contents/images),https://opendatacommons.org/licenses/dbcl/1-0/,Osama Hosam Abdellatif (original Kaggle dataset); Harpreet Sahota / Voxel51 (FiftyOne port),real-public,"synthetic-generated invoice image, English, USD",already-present
real-voxel51-04,https://huggingface.co/datasets/Voxel51/high-quality-invoice-images-for-ocr/resolve/d21f03cfeea2b330e15a229883c66d7ebece8e69/data/batch1-0327.jpg,Voxel51/high-quality-invoice-images-for-ocr,d21f03cfeea2b330e15a229883c66d7ebece8e69,ODbL-1.0 (database) + DbCL-1.0 (contents/images),https://opendatacommons.org/licenses/dbcl/1-0/,Osama Hosam Abdellatif (original Kaggle dataset); Harpreet Sahota / Voxel51 (FiftyOne port),real-public,"synthetic-generated invoice image, English, USD",already-present
real-voxel51-05,https://huggingface.co/datasets/Voxel51/high-quality-invoice-images-for-ocr/resolve/d21f03cfeea2b330e15a229883c66d7ebece8e69/data/batch1-0436.jpg,Voxel51/high-quality-invoice-images-for-ocr,d21f03cfeea2b330e15a229883c66d7ebece8e69,ODbL-1.0 (database) + DbCL-1.0 (contents/images),https://opendatacommons.org/licenses/dbcl/1-0/,Osama Hosam Abdellatif (original Kaggle dataset); Harpreet Sahota / Voxel51 (FiftyOne port),real-public,"synthetic-generated invoice image, English, USD",already-present
real-voxel51-06,https://huggingface.co/datasets/Voxel51/high-quality-invoice-images-for-ocr/resolve/d21f03cfeea2b330e15a229883c66d7ebece8e69/data/batch1-0544.jpg,Voxel51/high-quality-invoice-images-for-ocr,d21f03cfeea2b330e15a229883c66d7ebece8e69,ODbL-1.0 (database) + DbCL-1.0 (contents/images),https://opendatacommons.org/licenses/dbcl/1-0/,Osama Hosam Abdellatif (original Kaggle dataset); Harpreet Sahota / Voxel51 (FiftyOne port),real-public,"synthetic-generated invoice image, English, USD",already-present
real-voxel51-07,https://huggingface.co/datasets/Voxel51/high-quality-invoice-images-for-ocr/resolve/d21f03cfeea2b330e15a229883c66d7ebece8e69/data/batch1-0728.jpg,Voxel51/high-quality-invoice-images-for-ocr,d21f03cfeea2b330e15a229883c66d7ebece8e69,ODbL-1.0 (database) + DbCL-1.0 (contents/images),https://opendatacommons.org/licenses/dbcl/1-0/,Osama Hosam Abdellatif (original Kaggle dataset); Harpreet Sahota / Voxel51 (FiftyOne port),real-public,"synthetic-generated invoice image, English, USD",already-present
real-voxel51-08,https://huggingface.co/datasets/Voxel51/high-quality-invoice-images-for-ocr/resolve/d21f03cfeea2b330e15a229883c66d7ebece8e69/data/batch1-0837.jpg,Voxel51/high-quality-invoice-images-for-ocr,d21f03cfeea2b330e15a229883c66d7ebece8e69,ODbL-1.0 (database) + DbCL-1.0 (contents/images),https://opendatacommons.org/licenses/dbcl/1-0/,Osama Hosam Abdellatif (original Kaggle dataset); Harpreet Sahota / Voxel51 (FiftyOne port),real-public,"synthetic-generated invoice image, English, USD",already-present
real-voxel51-09,https://huggingface.co/datasets/Voxel51/high-quality-invoice-images-for-ocr/resolve/d21f03cfeea2b330e15a229883c66d7ebece8e69/data/batch1-0946.jpg,Voxel51/high-quality-invoice-images-for-ocr,d21f03cfeea2b330e15a229883c66d7ebece8e69,ODbL-1.0 (database) + DbCL-1.0 (contents/images),https://opendatacommons.org/licenses/dbcl/1-0/,Osama Hosam Abdellatif (original Kaggle dataset); Harpreet Sahota / Voxel51 (FiftyOne port),real-public,"synthetic-generated invoice image, English, USD",already-present
real-voxel51-10,https://huggingface.co/datasets/Voxel51/high-quality-invoice-images-for-ocr/resolve/d21f03cfeea2b330e15a229883c66d7ebece8e69/data/batch1-1054.jpg,Voxel51/high-quality-invoice-images-for-ocr,d21f03cfeea2b330e15a229883c66d7ebece8e69,ODbL-1.0 (database) + DbCL-1.0 (contents/images),https://opendatacommons.org/licenses/dbcl/1-0/,Osama Hosam Abdellatif (original Kaggle dataset); Harpreet Sahota / Voxel51 (FiftyOne port),real-public,"synthetic-generated invoice image, English, USD",already-present
real-voxel51-11,https://huggingface.co/datasets/Voxel51/high-quality-invoice-images-for-ocr/resolve/d21f03cfeea2b330e15a229883c66d7ebece8e69/data/batch1-1163.jpg,Voxel51/high-quality-invoice-images-for-ocr,d21f03cfeea2b330e15a229883c66d7ebece8e69,ODbL-1.0 (database) + DbCL-1.0 (contents/images),https://opendatacommons.org/licenses/dbcl/1-0/,Osama Hosam Abdellatif (original Kaggle dataset); Harpreet Sahota / Voxel51 (FiftyOne port),real-public,"synthetic-generated invoice image, English, USD",already-present
real-voxel51-12,https://huggingface.co/datasets/Voxel51/high-quality-invoice-images-for-ocr/resolve/d21f03cfeea2b330e15a229883c66d7ebece8e69/data/batch1-1272.jpg,Voxel51/high-quality-invoice-images-for-ocr,d21f03cfeea2b330e15a229883c66d7ebece8e69,ODbL-1.0 (database) + DbCL-1.0 (contents/images),https://opendatacommons.org/licenses/dbcl/1-0/,Osama Hosam Abdellatif (original Kaggle dataset); Harpreet Sahota / Voxel51 (FiftyOne port),real-public,"synthetic-generated invoice image, English, USD",already-present
real-voxel51-13,https://huggingface.co/datasets/Voxel51/high-quality-invoice-images-for-ocr/resolve/d21f03cfeea2b330e15a229883c66d7ebece8e69/data/batch1-1381.jpg,Voxel51/high-quality-invoice-images-for-ocr,d21f03cfeea2b330e15a229883c66d7ebece8e69,ODbL-1.0 (database) + DbCL-1.0 (contents/images),https://opendatacommons.org/licenses/dbcl/1-0/,Osama Hosam Abdellatif (original Kaggle dataset); Harpreet Sahota / Voxel51 (FiftyOne port),real-public,"synthetic-generated invoice image, English, USD",already-present
real-commons-01,https://commons.wikimedia.org/wiki/File:Facture_et_re%C3%A7u_1.png,"Wikimedia Commons, Category:Invoices from India",pageid 36377875,Public domain (PD-text),https://commons.wikimedia.org/wiki/Commons:Licensing,Alliance francaise de Pondichery; uploaded by Lionel Scheepmans,real-public,"scanned Indian invoice, INR, Sub Total+Total, no tax",already-present
synthetic-001,generated by scripts/build_problem1_corpus.py:20260815,accountant-dad problem1 synthetic corpus,seed=20260815,"CC0-1.0 (generated here, no third-party content)",https://creativecommons.org/publicdomain/zero/1.0/,accountant-dad,synthetic,classic_table; tax=cgst_sgst; SUB TOTAL and GRAND TOTAL both printed,generated: synthetic-001.png
synthetic-002,generated by scripts/build_problem1_corpus.py:20260815,accountant-dad problem1 synthetic corpus,seed=20260815,"CC0-1.0 (generated here, no third-party content)",https://creativecommons.org/publicdomain/zero/1.0/,accountant-dad,synthetic,boxed_gst; tax=igst; values on the NEXT line,generated: synthetic-002.png
synthetic-003,generated by scripts/build_problem1_corpus.py:20260815,accountant-dad problem1 synthetic corpus,seed=20260815,"CC0-1.0 (generated here, no third-party content)",https://creativecommons.org/publicdomain/zero/1.0/,accountant-dad,synthetic,serif_letterhead; tax=cgst_sgst,generated: synthetic-003.png
synthetic-004,generated by scripts/build_problem1_corpus.py:20260815,accountant-dad problem1 synthetic corpus,seed=20260815,"CC0-1.0 (generated here, no third-party content)",https://creativecommons.org/publicdomain/zero/1.0/,accountant-dad,synthetic,narrow_receipt; tax=igst; SUB TOTAL and GRAND TOTAL both printed,generated: synthetic-004.png
synthetic-005,generated by scripts/build_problem1_corpus.py:20260815,accountant-dad problem1 synthetic corpus,seed=20260815,"CC0-1.0 (generated here, no third-party content)",https://creativecommons.org/publicdomain/zero/1.0/,accountant-dad,synthetic,stacked_labels; tax=cgst_sgst,generated: synthetic-005.png
synthetic-006,generated by scripts/build_problem1_corpus.py:20260815,accountant-dad problem1 synthetic corpus,seed=20260815,"CC0-1.0 (generated here, no third-party content)",https://creativecommons.org/publicdomain/zero/1.0/,accountant-dad,synthetic,minimal_cash_memo; tax=igst; values on the NEXT line,generated: synthetic-006.png
synthetic-007,generated by scripts/build_problem1_corpus.py:20260815,accountant-dad problem1 synthetic corpus,seed=20260815,"CC0-1.0 (generated here, no third-party content)",https://creativecommons.org/publicdomain/zero/1.0/,accountant-dad,synthetic,multipage_continuation; tax=cgst_sgst; SUB TOTAL and GRAND TOTAL both printed,generated: synthetic-007.png
synthetic-008,generated by scripts/build_problem1_corpus.py:20260815,accountant-dad problem1 synthetic corpus,seed=20260815,"CC0-1.0 (generated here, no third-party content)",https://creativecommons.org/publicdomain/zero/1.0/,accountant-dad,synthetic,classic_table; tax=igst,generated: synthetic-008.png
synthetic-009,generated by scripts/build_problem1_corpus.py:20260815,accountant-dad problem1 synthetic corpus,seed=20260815,"CC0-1.0 (generated here, no third-party content)",https://creativecommons.org/publicdomain/zero/1.0/,accountant-dad,synthetic,boxed_gst; tax=cgst_sgst,generated: synthetic-009.png
